artist,song_name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,lyrical_valence,pca1,pca2
Stevie Wonder,We Can Work It Out,--,=,=,=,--,=,=,+,--,=,=,=,=,13.73438053,-32.30226332
Nicki Minaj,Starships - Edit,-,=,=,=,--,=,++,--,++,=,=,=,=,11.51392006,-6.074039739
Mötley Crüe,Anybody Out There?,=,-,=,=,--,=,+,--,++,=,--,=,--,11.52020497,-4.792344709
George Michael,Cars and Trains,=,=,-,=,--,=,=,-,++,=,-,=,-,11.85859383,10.36546993
Japan,Gentlemen Take Polaroids - Remastered 2003,=,=,=,=,--,=,=,++,++,+,=,=,=,3.091456916,22.59681989
Ted Nugent,"Baby, Please Don't Go - Live at Taylor County Coliseum, Abilene, TX - November 1977",-,=,=,=,--,=,+,--,++,=,=,=,=,-13.86509855,4.157601543
X Ambassadors,Nervous,--,=,=,=,--,=,++,--,--,++,-,=,-,3.701446651,-12.61594285
The Pointer Sisters,All I Know Is the Way I Feel,-,=,=,=,--,=,=,-,++,-,=,=,=,-4.137905652,4.009042207
Euge Groove,Another Sad Love Song,-,=,=,=,--,=,=,=,++,=,-,=,-,12.1041809,-11.69471411
Doc Robinson,Wild Beauty,-,=,=,=,--,=,=,=,++,+,=,=,=,-26.90123699,19.84183632
Rainbow,Love's No Friend (Live),=,=,=,=,--,=,=,=,--,=,-,=,-,9.879749398,-3.466028009
Robert Gordon,There You Go,--,=,=,=,--,=,=,-,++,=,-,=,-,-16.90436747,-4.958593548
Carpenters,Please Mr. Postman,--,=,=,=,--,=,=,-,--,=,=,=,=,-21.48348239,5.173849498
G-DRAGON,THE LEADERS,-,=,=,=,--,=,++,--,--,=,-,=,-,11.187093,-9.667278764
Paulina Rubio,El Ultimo Adios,-,-,=,=,--,=,+,--,--,=,=,=,=,-15.13647435,5.185684416
Wire,Morning Bell,--,=,=,=,--,=,=,--,++,++,=,=,=,4.120365834,-20.67194522
Joe Cocker,Walk Through The World With Me,-,=,=,=,--,=,=,--,++,=,-,=,-,14.50377688,-20.06396112
Dio,In Dreams - 2019 - Remaster,-,-,=,=,--,=,=,-,--,=,-,=,-,23.38109098,-16.95398378
Billy Ocean,Love Zone,--,=,=,=,--,=,+,+,++,=,=,=,=,7.191795147,-19.29728486
Big Mountain,Love Is On the Way,--,=,-,=,--,=,=,+,--,-,=,=,=,-22.95017758,-1.355737316
Buck Owens,41st Street Lonely Hearts' Club,--,=,=,=,--,=,=,++,--,-,=,=,=,4.334403687,-19.55855553
Yusuf / Cat Stevens,The Devil Came from Kansas,--,=,=,=,--,=,=,=,-,=,=,=,=,3.78417759,-21.68556585
Luca Brunetti,Tropical Swing,--,=,=,=,--,=,=,=,++,++,-,=,-,6.586566857,-20.0934989
Taylor Swift,...Ready For It?,++,=,=,=,--,=,=,--,++,=,=,=,=,34.17788018,28.32706141
George Harrison,I Really Love You - Remastered 2004,=,=,=,=,--,=,=,=,++,-,=,=,=,-7.246912058,12.95216136
Del Shannon,Needles and Pins,=,=,=,=,--,=,=,-,++,=,=,=,=,-6.949831161,17.85621881
"The Broadway Cast Of ""The Boy From Oz""","Wrapped up Nice (feat. Hugh Jackman, Stephanie J. Block, Tim Fitz Gerald, Isabel Keating & Beth Fowler)",--,=,=,=,--,=,=,++,--,++,=,=,=,-22.32870843,-3.14468846
The Maine,Everything I Ask For,-,-,=,=,--,=,=,--,--,=,--,=,--,-9.948886294,6.135885221
Faith No More,I Won't Forget You - 2016 Remaster,=,=,=,=,--,=,=,--,++,=,--,=,--,10.34000903,-2.551747345
Bad Company,Sweet Lil' Sister - 2017 Remaster,=,=,=,=,--,=,=,-,--,=,=,=,=,-8.252653581,20.19532376
Randolph's Grin,Orange - Subtraction: Architect Remix,--,=,=,=,--,=,=,--,++,+,-,=,-,-19.96785964,-5.05370182
The Who,I Am The Sea - Live In London / 2013,-,-,=,=,--,=,++,--,--,++,-,=,-,-13.78994314,10.52701801
Suga Free,S.G.V.,--,=,=,=,--,=,++,--,--,=,=,=,=,2.107771996,-17.75834668
Limp Bizkit,Crushed - Album Version (Edited),--,=,-,=,--,=,++,-,++,-,=,=,=,3.299520355,-22.57968678
Taylor Swift,...Ready For It? - Karaoke Version,+,=,=,=,--,=,=,--,++,-,=,=,=,24.74537447,16.66401337
CAN,Pauper's Daughter And I,--,=,-,=,--,=,++,++,++,=,=,=,=,-20.12473948,4.075521114
Taylor Swift,…Ready For It? - Commentary,++,=,=,=,--,=,=,--,++,-,=,=,=,40.48057499,36.09082578
Tegan and Sara,Hype,=,=,-,=,--,=,=,--,++,-,-,=,-,-8.466472549,13.9395244
Duran Duran,Late Bar - Manchester Square Demo,-,=,=,=,--,--,=,--,++,=,-,=,-,-11.435175,9.909228238
Metallica,Hero Of The Day,++,-,=,=,--,=,=,--,++,=,=,=,=,17.87582797,27.3611297
Jay & The Techniques,"Apples, Peaches, Pumpkin Pie",--,=,=,=,--,=,=,++,--,=,=,=,=,-30.0329271,5.655583058
Elton John,Little Jeannie,-,=,-,=,--,=,-,++,--,=,=,=,=,-26.04782467,17.86603973
Frankie Ruiz,Tú Con Él,--,=,=,=,--,=,=,+,++,+,=,=,=,3.711186948,-22.91311582
Nicki Minaj,Starships - Edit,-,=,=,=,--,=,++,--,++,=,=,=,=,10.27302865,-7.642692682
Little Texas,God Blessed Texas,=,=,=,=,--,=,+,++,=,++,=,=,=,-7.18809834,16.7627112
The Cowsills,The Cruel War - Live,--,=,=,=,--,=,=,+,++,=,=,=,=,-28.95082884,3.494471872
Dirty Heads,Burn By Myself,=,=,=,=,--,=,-,-,+,=,=,=,=,23.74544161,5.897941583
Bob Marley & The Wailers,Buffalo Soldier - Edit Version,=,=,-,=,--,=,++,=,--,=,=,=,=,3.168018022,22.53527121
Lara Fabian,I Will Love Again,++,=,=,=,--,--,=,--,--,=,-,=,-,9.928300734,35.07341456
Foxy,Get Off - Remastered,+,=,-,=,--,=,++,--,++,-,=,=,=,3.816987509,33.5845277
The Turtles,Let Me Be - Remastered,--,=,-,=,--,=,=,--,--,++,=,=,=,-18.73415062,5.523297076
Foreign Air,Echo,-,=,=,=,--,=,=,--,++,=,-,=,-,9.330526445,-5.593663482
Jewel T,Rock Nice,--,=,=,=,--,=,++,--,--,--,-,=,-,-2.163339624,-19.44856564
Common,The Light,-,=,-,=,--,=,++,-,--,=,=,=,=,10.05842036,-12.61258667
Little Big Town,Love Profound,-,=,-,=,--,=,=,++,++,=,=,=,=,-26.64679876,17.06457852
James Blunt,1973,++,=,=,=,--,=,-,-,++,=,=,=,=,24.32254757,46.5819504
Eddie Money,When I Come Around,--,=,=,=,--,=,+,-,--,=,--,=,--,4.108455557,-16.80304069
Lucho Castellanos y su Grupo,La cumbia barulera,--,=,=,=,--,=,=,-,--,=,=,=,=,-0.259669866,-20.9877703
Classified,Grand Slam,--,=,=,=,--,=,++,++,--,=,-,=,-,6.7845652,-15.10968752
David Lee Roth,Experience - 2007 Remaster,=,=,=,=,--,=,=,=,++,=,-,=,-,5.121908857,0.38024278
Michael Bublé,Someday (feat. Meghan Trainor),+,=,-,=,--,=,=,=,--,=,=,=,=,30.50123615,9.437628407
Bridgit Mendler,Diving (Vice Remix),=,=,=,=,--,--,++,=,++,-,-,=,-,27.85613091,-11.57024494
Mandrill,Believe in You,--,=,=,=,--,--,=,++,++,=,=,=,=,-19.4188653,-2.925486277
A Cor Do Som,Assanhado,--,=,=,=,--,=,=,--,++,+,=,=,=,-23.63362583,0.482208031
August Alsina,Don't Matter,-,=,-,=,--,=,++,=,--,--,-,=,-,-15.9734985,4.577294166
M People,Just For You,=,=,=,=,--,=,=,=,--,+,-,=,-,17.44393721,-1.866010231
Sham 69,The Game,--,=,=,=,--,=,+,-,--,++,-,=,-,-23.05810416,0.01687497
blackbear,me & ur ghost,++,=,-,=,--,=,-,-,--,=,=,=,=,36.6518336,25.04032037
Marilyn Manson,mOBSCENE,--,=,=,=,--,=,+,--,++,++,-,=,-,-20.78913221,2.040666772
Ne-Yo,Jealous,=,=,-,=,--,=,=,-,--,-,-,=,-,18.56255308,1.087650997
Buck Owens,Ashes of Love,--,=,=,=,--,=,=,=,-,+,=,=,=,-12.10585185,-1.12316834
Paul Carrack,"Georgia - Live at Royal Albert Hall, London, 2001",-,=,=,=,--,=,=,-,--,-,=,=,=,-12.34927057,4.217888879
Rancid,Farewell Lola Blue,=,=,=,=,--,=,=,--,--,+,=,=,=,-4.698177144,18.60708346
Heaven 17,Penthouse And Pavement,--,=,=,=,--,--,+,--,--,-,=,=,=,-19.79841544,-0.046572073
The Stranglers,Duchess,-,=,=,=,--,=,++,--,++,=,=,=,=,-15.38460722,11.81611941
FosseyTango,War Torn Streets (feat. Glen Matlock),--,-,=,=,--,=,+,-,--,+,-,=,-,-3.623953272,-18.26696081
Funkadelic,Standing on the Verge of Getting It On,+,=,=,=,--,=,++,-,--,++,=,=,=,14.00050668,22.77880266
J-Love,Justice League,--,=,=,=,--,=,++,-,--,=,-,=,-,2.47850106,-23.20197304
The Dears,Raise The Dead,=,=,=,=,--,=,=,++,--,++,-,=,-,26.37345481,6.34582908
Ronan Keating,Little Thing Called Love - Single Mix,+,=,=,=,--,=,=,-,--,=,-,=,-,10.66951234,21.61516282
Ronan Keating,Lost For Words,++,=,=,=,--,=,=,-,--,=,-,=,-,16.32024848,28.62007677
The Who,Pinball Wizard - Live At Woodstock,=,-,=,=,--,--,+,-,--,=,=,=,=,-10.16895439,14.02965536
Richard Elliot,The Lower Road,+,=,=,=,--,=,=,++,--,--,=,=,=,37.098991,6.675609645
Black Sabbath,Rock 'N' Roll Doctor - 2014 Remaster,=,-,=,=,--,=,+,++,++,++,-,=,-,-6.595732169,17.56975126
Foghat,"Slipped, Tripped, Fell In Love",--,=,=,=,--,--,=,--,++,++,=,=,=,-20.51629236,-2.038167119
Skinny Puppy,Convulsion - Live,-,=,=,=,--,=,++,--,++,+,-,=,-,11.57055093,-13.83553503
Alabama,No Bad Days,--,=,=,=,--,=,-,++,++,=,-,=,-,-7.94530783,-10.9157461
The Outfield,Part Of Your Life,=,=,=,=,--,=,=,++,--,=,--,=,--,16.84898549,-2.6705136
Roy Orbison,No Chain at All,=,=,-,=,--,=,=,=,-,-,=,=,=,-8.659054936,11.52254585
Method Man,Bring The Pain,--,=,-,=,--,=,++,+,++,=,--,=,--,0.637014832,-16.5678213
Phil Vassar,Voice in My Head,-,=,-,=,--,=,-,-,--,=,--,=,--,10.57251512,-11.74145742
Everything Everything,The Actor,+,=,-,=,--,=,=,++,++,=,--,=,--,5.547650821,29.61413722
Visage,Aurora - Map Of Human Heart Extended Version,--,=,=,=,--,--,=,--,++,-,=,=,=,-20.26515913,-2.241389821
Sam Cooke,All Right Now - Take 4/Alt.,++,=,=,=,--,=,=,++,--,=,=,=,=,16.0890744,36.52099588
Amber Dirks,Without You,--,=,=,=,--,--,=,--,++,--,=,=,=,-22.29293331,-3.173841194
The Rubettes,Keep On Dancing,--,=,=,=,--,--,=,--,++,--,=,=,=,-22.29293331,-3.173841194
Fleetwood Mac,Little Lies - Extended Version; 2017 Remaster,=,=,=,=,--,=,=,-,++,=,=,=,=,1.873723253,22.29496087
Danger Danger,Walk It Like Ya Talk It (feat. Ted Poley),--,=,=,=,--,=,=,--,--,++,-,=,-,4.958939624,-17.49169732
Fabolous,Brooklyn,-,=,=,=,--,=,++,--,--,=,=,=,=,8.89342533,-14.24339553
Dirty Heads,Hear You Coming,=,=,=,=,--,=,=,-,--,+,=,=,=,19.09232051,9.660642914
Kane Brown,Lost in the Middle of Nowhere (feat. Becky G),++,=,=,=,--,--,=,--,++,-,-,=,-,48.23751331,16.95979836
Buddy Knox,Maybelline,--,=,=,=,--,=,=,+,+,++,=,=,=,-22.27157818,-3.19127304
Joy Division,She's Lost Control,--,=,=,=,--,=,++,=,++,=,=,=,=,-32.98393717,5.469808982
The Steel Woods,Better in the Fall,=,=,=,=,--,=,=,-,=,=,--,=,--,11.79855285,-2.444711818
King Diamond,Lucy Forever,--,=,=,=,--,--,=,--,++,+,-,=,-,-17.44190225,3.192388706
John Fogerty,Someday Never Comes,=,=,=,=,--,=,-,--,--,=,-,=,-,-6.529607552,20.08926896
a-ha,Cry Wolf - Demo,-,=,=,=,--,--,+,+,++,=,=,=,=,-17.09372129,6.768784653
Matt Nathanson,Surrender,--,=,-,=,--,=,=,++,--,=,-,=,-,-15.13775229,2.6155284
Hilltop Hoods,Chase That Feeling - Remix Instrumental,-,=,=,=,--,=,=,--,++,++,=,=,=,8.037549611,-13.55090085
The Byrds,All I Have Are Memories - Alternate Instrumental - Take 21,=,-,-,=,--,=,=,=,--,=,=,=,=,2.793045472,20.26652162
Ñejo & Dalmata,Algo Musical,--,=,=,=,--,=,+,=,--,+,-,=,-,3.445485705,-23.983693
Mary Mary,Somebody,--,=,=,=,--,=,=,--,++,+,=,=,=,10.29270666,-28.23318784
Joy Division,She's Lost Control - 2010 Remaster,=,=,=,=,--,=,++,=,++,=,=,=,=,-12.23697776,31.1321716
Joy Division,She's Lost Control,--,=,=,=,--,=,++,=,++,=,=,=,=,-30.46984453,8.580952137
Poppy Ajudha,David's Song - Tom Misch Remix,--,=,-,+,--,=,=,++,++,=,-,+,-,-39.66913359,19.87762052
Montgomery Gentry,All I Know About Mexico,=,=,=,=,--,=,=,--,--,++,-,=,-,-9.28410181,12.02773379
Kodak Black,Benji's,=,=,-,=,--,=,=,--,--,=,--,=,--,-4.427452562,22.24778461
XTC,I'm Bugged - 2001 Remaster,-,=,=,=,--,=,=,-,--,++,-,=,-,-11.1275184,5.802457441
Juicy J,Lit (feat. Young Dolph & 21 Savage),-,=,=,=,--,=,++,--,--,=,=,=,=,-6.327718187,7.064606532
Glee Cast,Billionaire (Glee Cast Version),++,=,=,=,--,--,++,++,--,=,=,=,=,42.38943332,11.40022046
Material Issue,What Girls Want,--,=,=,=,--,=,=,-,--,++,=,=,=,-24.5427108,-1.354795089
Toby Keith,Haven't Had a Drink All Day,=,=,=,=,--,=,=,++,--,-,=,=,=,15.69000711,0.837421349
Aretha Franklin,Freeway of Love - Extended Remix,--,=,=,=,--,--,+,++,--,=,=,=,=,-15.1083988,2.590856844
Darius Rucker,One More Night,=,=,-,=,--,=,+,--,--,-,-,=,-,0.057592527,7.047945121
